Magnitude,Return Period
6.7,56.53819831663293
6.8,71.4370140368055
6.8999999999999995,90.47041330488778
6.999999999999999,114.91407684439693
7.099999999999999,146.5189007163309
7.199999999999998,187.7421145277234
7.299999999999998,242.12913154547084
7.399999999999998,314.97602421705903
7.499999999999997,414.548508900299
7.599999999999997,554.4939087386958
7.699999999999997,759.076591098764
7.799999999999996,1076.0310774989823
7.899999999999996,1614.1071243511235
7.999999999999996,2686.712793295516
8.099999999999994,5722.830678703756
8.199999999999996,8439.687338957026
8.299999999999994,13590.796223001133
8.399999999999995,26507.003604960053
