Magnitude,Return Period
6.7,108.75022250465605
6.8,139.1648744244105
6.8999999999999995,178.7601543141976
6.999999999999999,230.75880379330567
7.099999999999999,299.83401956969686
7.199999999999998,393.0053884478791
7.299999999999998,521.3003440622567
7.399999999999998,703.0746613603086
7.499999999999997,971.3154416132013
7.599999999999997,1391.8973195402818
7.699999999999997,2118.351653034196
7.799999999999996,3610.9478844245746
7.899999999999996,8170.27991357077
7.999999999999996,1.7568327689247194e+17
