Magnitude,Return Period
6.7,178.6722081141299
6.8,230.38122961138683
6.8999999999999995,298.13274101585586
6.999999999999999,387.6513155928485
7.099999999999999,507.2496895674542
7.199999999999998,669.4255925051793
7.299999999999998,893.8217756913
7.399999999999998,1213.1403702968257
7.499999999999997,1686.149247269516
7.599999999999997,2430.194301427133
7.699999999999997,3718.736417320505
7.799999999999996,6371.507958025702
7.899999999999996,14485.642973293372
7.999999999999996,3.2362708901244826e+17
