Magnitude,Return Period
6.7,174.61028746417318
6.8,223.67214006991168
6.8999999999999995,286.9927410781081
6.999999999999999,369.0260330337724
7.099999999999999,475.8248199105869
7.199999999999998,615.7574470915463
7.299999999999998,800.6473345993111
7.399999999999998,1047.6634428736672
7.499999999999997,1382.6183345518973
7.599999999999997,1846.0817583441328
7.699999999999997,2505.5960470236955
7.799999999999996,3482.5391950453004
7.899999999999996,5019.275084931413
7.999999999999996,7680.604401023616
8.099999999999994,13159.58609909491
8.199999999999996,29918.3595411959
8.299999999999994,4.985606506407987e+17
