Magnitude,Return Period
6.7,693.8411191318205
6.8,880.585255345824
6.8999999999999995,1116.3185620859813
6.999999999999999,1413.2408722919145
7.099999999999999,1786.5599994420531
7.199999999999998,2255.8279183462196
7.299999999999998,2847.885494064736
7.399999999999998,3603.575189985177
7.499999999999997,4592.910998313893
7.599999999999997,5949.1372674616005
7.699999999999997,7947.226185555355
7.799999999999996,11198.77405447092
7.899999999999996,17197.14914361705
7.999999999999996,30092.869151587973
8.099999999999994,63645.73701900701
8.199999999999996,175529.5968523695
