Magnitude,Return Period
6.7,106.04573302351334
6.8,134.76668311895872
6.8999999999999995,171.56784174677748
6.999999999999999,218.91229510742008
7.099999999999999,280.13645725901245
7.199999999999998,359.8410628815239
7.299999999999998,464.513434466515
7.399999999999998,603.5606352205427
7.499999999999997,791.1129705598979
7.599999999999997,1049.3684714444664
7.699999999999997,1415.2769916739014
7.799999999999996,1955.240988934249
7.899999999999996,2801.864950312009
7.999999999999996,4264.204812918484
8.099999999999994,7268.774910863381
8.199999999999996,16446.630511245767
8.299999999999994,2.6352491533870787e+17
