Magnitude,Return Period
6.7,688.3164458660397
6.8,871.3972582798261
6.8999999999999995,1101.583966179452
6.999999999999999,1390.932219509097
7.099999999999999,1755.9919615106314
7.199999999999998,2221.946450972502
7.299999999999998,2831.9659655493983
7.399999999999998,3668.2083044974725
7.499999999999997,4900.219944666359
7.599999999999997,6905.108108949111
7.699999999999997,10603.676208199893
7.799999999999996,18555.11271050391
7.899999999999996,39243.643335632645
7.999999999999996,108230.67209771952
