Station ID,Latitude,Longitude,Vs30,PGA,SA(0.5),SA(1.0)
3115,36.54634,36.16459,423.9,0.25575194458400696,0.484956186612299,0.3545771354597973
3125,36.23808,36.13264,448.0,0.9387026650495569,0.8279086426605508,0.6170630854467578
3126,36.2202,36.1375,350.0,1.0744059768260632,1.3382605361878834,0.9475519247534032
3129,36.19117,36.1343,447.1,1.401847799735951,2.1454185108778816,1.285154410761446
3135,36.40886,35.8831,459.5,0.9879242824983172,1.1282373040110047,0.5201329160269238
3140,36.08155,35.94982,210.0,0.21432617038955185,0.44844461045977096,0.5443347382479434
3141,36.3726,36.21973,338.0,0.9043507724318788,2.194452420412335,0.8718402002368661
4625,37.53872,36.98187,346.0,0.4471533790781499,1.0825392171382757,0.5933909208477463
119,36.568,35.39,485.0,0.042504441910652065,0.11647061430183091,0.06485455556563839
120,36.77006,35.79005,438.6,0.12258714786169353,0.18536471302143043,0.19102636723849342
122,37.4339,35.82021,500.6,0.056396272305815266,0.1283050864476425,0.042092905072651884
125,37.01519,35.79577,215.5,0.11135652654097593,0.28660352052094784,0.38026134662391375
127,37.816183,35.92044,582.9,0.062385283313040434,0.16233971839042735,0.05027353596589037
2302,38.39231,39.67541,907.3,0.2198828867069584,0.20152767354570958,0.05958431966291423
2308,38.45063,39.3102,450.1,0.25423715652988216,0.5111650538879846,0.3068210814979841
2309,38.79913,38.72728,859.6,0.03524397739258452,0.05927498737463611,0.041710696574459284
2703,37.058,37.35,758.2,0.14837131419633223,0.25832170399741483,0.1336757252176189
2708,37.09933,36.648373,522.8,1.0177290762822973,1.4555740478552814,1.1550282275270773
3116,36.61618,36.20661,868.0,0.1745065556185786,0.3162242402034413,0.24547756735689083
3123,36.21423,36.15973,470.0,0.5993212160818042,1.227639286582678,1.597210957383849
3124,36.2387,36.1722,282.6,0.6285116714990292,1.3724781535965502,1.615645932416041
3131,36.19121,36.16328,567.2,0.352029490806443,0.675180641620684,0.6754444059510253
3132,36.20673,36.17159,376.9,0.5163126898495675,0.8459677795907646,0.9854188190269381
3133,36.2432,36.5736,471.2,0.1667667429728219,0.48559024315264016,0.31141498001188345
3134,36.82763,36.20485,374.3,0.24173488955725014,0.4678784759487416,0.44303695143140687
3136,36.11593,36.24722,344.0,0.45554540041310065,0.737083648164764,0.5026011921408425
3137,36.69293,36.48852,688.0,0.673004586976097,0.8175900818518892,0.5405726282052387
3138,36.80262,36.51119,618.0,0.825782459120784,1.6015212585289509,1.8554652548113457
3139,36.58383,36.41439,272.0,0.5485768321247189,1.3642935894390984,1.1561601480000052
3142,36.49797,36.36612,539.0,0.702724410095485,0.973549972062945,0.5788448615620799
3143,36.848907,36.557138,444.7,0.3691819819628756,0.6608909984458199,0.7822120413495911
3144,36.75691,36.485742,535.0,0.6807776333124556,1.3147534250536699,0.6598709443727567
3145,36.64536,36.4064,533.2,0.7059807829423033,1.8362022763315307,1.0929493470297706
4404,38.19588,38.87385,1380.4,0.13218018787294017,0.1928524234521559,0.12243271337064046
4405,38.8107,37.9396,579.4,0.12011572233839796,0.09673393998432678,0.06528882050430332
4406,38.34388,37.97378,814.8,0.11514571615166792,0.15036242416030446,0.1469510539138084
4407,38.78066,38.26406,734.5,0.03779251738737474,0.07787360015610159,0.07767994810844844
4408,38.09616,37.88732,654.0,0.11202043873227585,0.19596052266434522,0.1505590881432215
4611,37.7472,37.28426,730.9,0.33106149854479194,0.5527312043253638,0.3042925433871693
4612,38.02395,36.48187,246.1,0.13430895421240002,0.33251481062678023,0.27136750568433105
4615,37.38676,37.13803,484.0,0.5900637008047418,1.0537025310260788,0.8586580831252166
4616,37.37547,36.83836,390.0,0.5738728179291778,1.1219293686797331,0.6074163808890757
4617,37.58551,36.8303,573.6,0.14120822336791405,0.22429840638474652,0.1459346033097689
4620,37.58568,36.89845,484.4,0.30305896042761343,0.3778483503843467,0.15600952341275467
4624,37.5361,36.91765,280.1,0.34506169897346717,1.0916996342282193,0.6393497960818442
4628,38.241198,36.922805,336.7,0.09044864920270589,0.2739386522779774,0.05789500307905949
6303,37.7524,39.3291,986.4,0.1094664866965651,0.21449839680673616,0.15460788482696916
6304,37.36509,38.51316,376.2,0.22773792478952248,0.4309957905957708,0.14627706475098134
8002,37.19156,36.56195,430.3,0.24253295224270838,0.5624208692728021,0.395379476100317
8003,37.08417,36.26936,350.0,0.1599841811864423,0.3235283828887831,0.2697177267469167
8004,37.379888,36.097633,426.2,0.1829705230756727,0.4795846118573468,0.18461972902212234
