Station ID,Latitude,Longitude,Vs30,PGA,SA(0.5),SA(1.0),Rjb
122,37.4339,35.82021,500.6,24.179985036217875,79.3242162292508,98.3015183008255,69.76211534000001
127,37.816183,35.92044,582.9,47.6501887082555,91.22427291181236,76.48355668558015,33.90223558
129,38.259195,36.210863,965.4,1115.5988743759617,488.0696508808986,312.95547142930207,33.80425646
205,37.79177,38.61597,660.5,24.022434344966868,41.08399662246417,110.05476281940165,58.27929314
2308,38.45063,39.3102,450.1,13.674476962851374,23.55946388399256,54.74639053496581,82.28190941999999
2309,38.79913,38.72728,859.6,33.59826113312057,16.678493636871682,15.307686639947924,64.00858099
2703,37.058,37.35,758.2,61.36906740282948,133.94275346281648,274.6678768740095,99.37806445000001
3802,38.47812,36.50359,304.8,797.894273641667,1682.6850833734625,6897.262431157608,46.336992380000005
3803,38.39485,35.479116,499.0,32.43597024306347,54.40053516925925,189.34038453740808,84.43332108
3804,38.72268,36.377902,637.3,61.12000440896419,124.04021073260157,227.915747177111,75.55235788
3805,38.1057,35.357183,383.8,48.28926112000587,50.645649351730285,69.96142791975323,81.40853143
4404,38.19588,38.87385,1380.4,16.366954726092825,39.20259503584387,74.95082869080115,43.34224192
4405,38.8107,37.9396,579.4,288.8279482092621,107.6790902906354,211.64657125774667,71.21114937
4406,38.34388,37.97378,814.8,1251.625812942946,647.1048606312297,963.1444426883826,23.787533
4611,37.7472,37.28426,730.9,92.92737561510836,186.33213678843416,156.288680974779,30.76390588
4612,38.02395,36.48187,246.1,745.5231758846118,830.989760669995,914.42757543334,1.1483803170000002
4614,37.48513,37.29775,541.2,76.91352074918434,44.13722033760304,38.84093118607415,55.9291852
4615,37.38676,37.13803,484.0,22.244643464798255,41.90809235842419,42.42382088712967,71.95953551
4616,37.37547,36.83836,390.0,16.75960257825873,21.62859400169784,20.38587886924445,76.06107681
4617,37.58551,36.8303,573.6,23.244593349551963,39.46445017532559,123.121233383104,52.94387625
4620,37.58568,36.89845,484.4,21.721898139581096,41.00268687584648,56.06467257365688,52.2758129
4624,37.5361,36.91765,280.1,17.425350679880736,37.748955435423234,53.205768104031335,57.56787788
5807,38.7269,37.2475,445.3,175.34162637333736,396.1948518679471,223.39371182671357,77.07994097
8002,37.19156,36.56195,430.3,20.75663115571371,43.44426080996205,49.57199270917854,89.17438254999999
8003,37.08417,36.26936,350.0,17.43881939375759,28.443027815777043,99.07677127008448,96.540384
