> -L"cardak"
36.4859772242	37.9452543106
36.5015347187	37.9700251108
36.5104453423	37.9806901145
36.5193912006	37.9890440692
36.5242339245	37.9931276733
36.5414992335	38.0023114169
36.5471057782	38.0042781495
36.5706741605	38.0196782894
36.577007863	38.0226144399
36.5901878603	38.0265584903
36.6332607443	38.0418188544
36.6536236198	38.0506557457
36.6760226945	38.0576517513
36.7121854618	38.0633951808
36.762113466	38.0709678804
36.7966970454	38.0760501222
36.8337183945	38.0762084239
36.8880486193	38.0733935742
36.9721642011	38.0665862801
37.1080629281	38.0440299562
37.2063935723	38.0246377304
37.242201407	38.0225034871
37.2899378608	38.0160252368
37.3339882995	38.0066360163
37.391037956	37.9900791317
