> -L"NAF"
25.0086189678	40.1994694425
25.7919418407	40.4412256991
26.6463715656	40.5617852033
27.1686386773	40.6965066352
27.6200412036	40.7928810153
28.5770532957	40.8733169072
29.0771710994	40.8102979077
29.5249595913	40.7409852599
29.9729765902	40.7263705112
30.6161536853	40.7086519578
31.584065776	40.7045042219
32.2558120894	40.7921961271
33.0576829932	40.9219464859
33.8641994272	41.0376738886
34.7407170783	41.1059345743
35.2590226843	41.0863344766
35.8258968553	40.9187467103
36.231058964	40.7603534838
36.8366349725	40.542944469
37.5417321631	40.3320091433
38.3249401464	40.1414738216
39.5374470494	39.7673243887
39.9389261957	39.5866747377
40.5854106869	39.4107860129
40.7841856689	39.3741845831
40.97868135	39.363923875
41.1342004655	39.3133873206
