> -L"EAF"
35.7407629453	35.7706501556
36.1445474768	36.132285949
36.2842542464	36.4007182107
36.5689430198	36.878983103
36.5848072409	37.041521781
36.7829262822	37.2537227747
36.8807838826	37.3841381944
36.9537151919	37.4923678253
37.406701693	37.6214630935
37.5495247538	37.7667461616
37.7664809664	37.8651006618
38.5389414856	38.1259802446
39.095671166	38.3499246646
39.613680698	38.5360768082
40.0097479024	38.697756129
40.2827053714	38.7299170052
40.5111934342	38.7257216027
40.6293793386	38.8756023815
40.6749653983	38.9610715351
41.1473961599	39.3137112237
