Magnitude,Return Period
6.7,432.03564093927747
6.8,516.6869918515838
6.8999999999999995,616.7294496126086
6.999999999999999,734.296112112824
7.099999999999999,871.5432395722397
7.199999999999998,1030.6696504411573
7.299999999999998,1214.2179144986412
7.399999999999998,1426.0626130431535
7.499999999999997,1673.8161847760516
7.599999999999997,1973.9213441469751
7.699999999999997,2361.8952817895915
7.799999999999996,2913.7420468119712
7.899999999999996,3796.1845611859167
7.999999999999996,5403.654454099193
8.099999999999994,8796.39385860888
8.199999999999996,17377.893127513704
8.299999999999994,44947.83849875644
8.399999999999995,167818.729945763
