Magnitude,Return Period
6.7,135.02922998117506
6.8,165.54551309253804
6.8999999999999995,203.42758109520403
6.999999999999999,250.69768926437575
7.099999999999999,310.0653602414874
7.199999999999998,385.2356342191938
7.299999999999998,481.4013272783816
7.399999999999998,606.0624704644372
7.499999999999997,770.4593413455486
7.599999999999997,992.2329084610363
7.699999999999997,1300.745029779221
7.799999999999996,1748.7825935618976
7.899999999999996,2441.8182673533597
7.999999999999996,3625.79437832599
8.099999999999994,6038.262566050779
8.199999999999996,13366.37280334648
8.299999999999994,2.005080877577125e+17
