Magnitude,Return Period
6.7,426.6725339191884
6.8,508.0087921843015
6.8999999999999995,602.9606056302587
6.999999999999999,713.0491849603773
7.099999999999999,840.0335586935714
7.199999999999998,986.5942821714573
7.299999999999998,1157.997876251835
7.399999999999998,1365.6199200369138
7.499999999999997,1634.0323060070364
7.599999999999997,2015.8169892504225
7.699999999999997,2626.3180507490797
7.799999999999996,3738.415507484614
7.899999999999996,6085.617703778232
7.999999999999996,12022.564674916595
8.099999999999994,31096.306749259365
8.199999999999996,116102.19487660097
