Magnitude,Return Period
6.7,417.1468212178779
6.8,493.3095099427108
6.8999999999999995,581.161232513841
6.999999999999999,682.5564801358292
7.099999999999999,801.1387950471183
7.199999999999998,944.7781551827319
7.299999999999998,1130.4741567746028
7.399999999999998,1394.6046248641167
7.499999999999997,1816.9681669865554
7.599999999999997,2586.351630234238
7.699999999999997,4210.218804634644
7.799999999999996,8317.582591959968
7.899999999999996,21513.388090273285
7.999999999999996,80323.09420707554
