Magnitude,Return Period
6.7,122.44945932019674
6.8,153.55094921202837
6.8999999999999995,192.60790946307978
6.999999999999999,241.68738554000623
7.099999999999999,303.41202993097437
7.199999999999998,381.12017719359307
7.299999999999998,479.07824448938976
7.399999999999998,602.7661092072389
7.499999999999997,759.266252565707
7.599999999999997,957.803694377226
7.699999999999997,1210.5104613504004
7.799999999999996,1533.5336254564215
7.899999999999996,1948.685342364354
7.999999999999996,2485.977858657435
8.099999999999994,3187.661330984609
8.199999999999996,4114.932361247884
8.299999999999994,5359.650387267877
8.399999999999995,7066.071966061155
8.499999999999993,9474.29552226709
8.599999999999994,13015.820336152154
8.699999999999992,18552.43467262375
8.799999999999994,28092.891467594218
8.899999999999991,47659.66691104132
8.999999999999993,107356.46018090278
9.09999999999999,1.3176245766935393e+18
