Magnitude,Return Period
6.7,152.4252344943596
6.8,191.140406584176
6.8999999999999995,239.75855776225526
6.999999999999999,300.85274871595857
7.099999999999999,377.6876604224446
7.199999999999998,474.4188557611997
7.299999999999998,596.3571759552627
7.399999999999998,750.3239789807062
7.499999999999997,945.1355459916912
7.599999999999997,1192.275192765449
7.699999999999997,1506.8448807660582
7.799999999999996,1908.9445046379717
7.899999999999996,2425.7258620383004
7.999999999999996,3094.5482336739533
8.099999999999994,3968.004665446413
8.199999999999996,5122.272761135697
8.299999999999994,6671.699259617266
8.399999999999995,8795.854896872088
8.499999999999993,11793.614481172559
8.599999999999994,16202.108836483989
8.699999999999992,23094.09303328412
8.799999999999994,34970.0651464319
8.899999999999991,59326.810793360004
8.999999999999993,133637.45098104686
9.09999999999999,1.6488709786556024e+18
