Magnitude,Return Period
6.7,75.07692033158898
6.8,94.46019242173267
6.8999999999999995,118.98551564389012
6.999999999999999,150.0985538024221
7.099999999999999,189.7005312028353
7.199999999999998,240.3218746593579
7.299999999999998,305.38079297663387
7.399999999999998,389.5805409394916
7.499999999999997,499.5421907448341
7.599999999999997,644.8559345134825
7.699999999999997,839.9171737780576
7.799999999999996,1107.3325248126444
7.899999999999996,1484.7280967251907
7.999999999999996,2039.7246538904526
8.099999999999994,2907.3740581940115
8.199999999999996,4402.470366494077
8.299999999999994,7468.802970846563
8.399999999999995,16823.95830074412
8.499999999999993,2.598132968128106e+17
