Magnitude,Return Period
6.7,201.81659371418075
6.8,253.07689967430832
6.8999999999999995,317.44911268739787
6.999999999999999,398.3400593531639
7.099999999999999,500.0722968686433
7.199999999999998,628.1479427020173
7.299999999999998,789.598745165474
7.399999999999998,993.4564320815275
7.499999999999997,1251.394082633305
7.599999999999997,1578.6160275367342
7.699999999999997,1995.1178169459201
7.799999999999996,2527.5124476170363
7.899999999999996,3211.7498942019347
7.999999999999996,4097.295212804296
8.099999999999994,5253.783522648973
8.199999999999996,6782.076761480013
8.299999999999994,8833.574200020033
8.399999999999995,11646.034070274694
8.499999999999993,15615.177565999129
8.599999999999994,21452.185572898863
8.699999999999992,30577.4250986523
8.799999999999994,46301.6471860966
8.899999999999991,78550.87059541093
8.999999999999993,176940.88015746957
9.09999999999999,2.1862807791063173e+18
