Station ID,Latitude,Longitude,Vs30,PGA,SA(0.5),SA(1.0)
3115,36.54634,36.16459,423.9,149.0817920908504,213.17656019989272,313.52994509800027
3125,36.23808,36.13264,448.0,1198.9994197983106,324.70679060108756,445.53158272408996
3126,36.2202,36.1375,350.0,1184.6164831062445,518.353215158576,654.1183821344764
3129,36.19117,36.1343,447.1,3145.064238385375,1584.8191290347584,1538.0138081421023
3135,36.40886,35.8831,459.5,4423.395837751704,2610.110401070145,1328.6505352267436
3140,36.08155,35.94982,210.0,54.93648190622745,92.29421205271214,194.16651740905235
3141,36.3726,36.21973,338.0,1294.071580267952,1202.6984374928143,584.2388501976195
4625,37.53872,36.98187,346.0,130.90536652032335,176.18679093440412,145.84439443202265
119,36.568,35.39,485.0,11.955136001043238,40.53539210718297,52.18837458075773
120,36.77006,35.79005,438.6,43.746743230570054,75.0686293490392,283.1632348883756
122,37.4339,35.82021,500.6,16.812105807457225,44.45402476492758,22.925009119468967
125,37.01519,35.79577,215.5,23.667680734808176,79.30170378525683,470.81359701897253
127,37.816183,35.92044,582.9,32.47703459362843,113.15409863293381,44.29115039731959
2302,38.39231,39.67541,907.3,119.71221340315444,56.92558476575037,29.510259579023366
2308,38.45063,39.3102,450.1,43.38077155472164,48.78431367403572,51.757716713079
2309,38.79913,38.72728,859.6,13.536492952852551,18.3985534166808,23.545112902348905
2703,37.058,37.35,758.2,244.39680186388395,412.22887035197874,281.56282021050924
2708,37.09933,36.648373,522.8,730.1460537124059,242.18182494714804,356.30176215336326
3116,36.61618,36.20661,868.0,121.1764754966931,200.08970443225604,360.11667434588924
3123,36.21423,36.15973,470.0,406.7880900712609,609.304653650617,2542.652983722785
3124,36.2387,36.1722,282.6,317.495079751073,456.0842978341361,1167.7142375628407
3131,36.19121,36.16328,567.2,183.53297621617634,296.10770234531117,659.9680256716691
3132,36.20673,36.17159,376.9,265.0271338308098,288.174611547309,756.2928006547689
3133,36.2432,36.5736,471.2,61.22039794346161,169.16788663085794,188.84667896823876
3134,36.82763,36.20485,374.3,128.68900523042007,219.50270748848666,574.5977123284814
3136,36.11593,36.24722,344.0,266.9151311702928,240.83309003523874,296.20626218236544
3137,36.69293,36.48852,688.0,679.8688307645925,248.1076565508364,279.81157237842484
3138,36.80262,36.51119,618.0,762.3918076336346,456.2817954061693,1363.7804453887097
3139,36.58383,36.41439,272.0,241.72658704323416,285.17951868499546,392.8108758319974
3142,36.49797,36.36612,539.0,729.1010076116555,351.85464945948416,345.9167521338384
3143,36.848907,36.557138,444.7,133.75478542123383,121.26221469571833,237.35996224784319
3144,36.75691,36.485742,535.0,445.77512604240076,320.106181922566,258.14510930368806
3145,36.64536,36.4064,533.2,582.6179733137698,616.478316752859,538.30702792472
4404,38.19588,38.87385,1380.4,28.18891738149826,34.41523581437724,40.869594164742004
4405,38.8107,37.9396,579.4,125.76120972503088,54.31212444312556,55.839130210134854
4406,38.34388,37.97378,814.8,72.87177996331367,66.7270770797693,145.9049413127305
4407,38.78066,38.26406,734.5,18.057581900445165,33.691874734953245,78.02130479081605
4408,38.09616,37.88732,654.0,33.53733036714836,43.173990524775256,60.15609856497065
4611,37.7472,37.28426,730.9,261.5410182206976,291.9765903274019,231.39790860223036
4612,38.02395,36.48187,246.1,42.16290815265395,123.55136396802865,198.33930593606877
4615,37.38676,37.13803,484.0,627.7211816013462,415.8010137029947,712.1195846394187
4616,37.37547,36.83836,390.0,141.85664277053857,111.33787537076415,102.16769429106314
4617,37.58551,36.8303,573.6,42.19688816119866,57.170978673972584,71.90760845691473
4620,37.58568,36.89845,484.4,145.53667479824645,88.98356783575322,61.877818628109424
4624,37.5361,36.91765,280.1,80.90910981970308,187.31401149062486,165.52451895094754
4628,38.241198,36.922805,336.7,32.41690793928009,164.41991025312475,33.33935775906279
6303,37.7524,39.3291,986.4,186.85363200074707,534.8501884136828,900.9509709349231
6304,37.36509,38.51316,376.2,554.5628218512456,1099.8372527871534,210.01320357527774
8002,37.19156,36.56195,430.3,85.40332668580986,150.06334684087568,192.2931741900126
8003,37.08417,36.26936,350.0,55.663064373320736,90.94608659838514,199.6594707436569
8004,37.379888,36.097633,426.2,88.40270550118768,380.93972106571596,165.30745350369236
