Station ID,Latitude,Longitude,Vs30,PGA,SA(0.5),SA(1.0)
122,37.4339,35.82021,500.6,43.39520712080419,131.37353980653177,184.3135732443017
127,37.816183,35.92044,582.9,93.05216690617638,160.79412675809854,147.72093998763935
129,38.259195,36.210863,965.4,3893.217078450273,1029.0409087637986,770.0525401100828
205,37.79177,38.61597,660.5,70.844385081511,139.0285698260941,780.6448918729023
2308,38.45063,39.3102,450.1,25.157822746657786,37.26710651388903,153.74389390165226
2309,38.79913,38.72728,859.6,78.63133796687659,29.90072938665698,31.75112281101974
2703,37.058,37.35,758.2,132.616219199774,282.8752623986489,765.8321771436533
3802,38.47812,36.50359,304.8,3127.7820411038065,4374.1607928106305,24131.436777881445
3803,38.39485,35.479116,499.0,69.85733715017211,98.56479849193524,374.78934795383924
3804,38.72268,36.377902,637.3,158.00791810166527,260.34535468180275,494.6608243052139
3805,38.1057,35.357183,383.8,108.83734887422212,90.87351340871346,127.76949191463063
4404,38.19588,38.87385,1380.4,27.958470855154246,96.30850531427775,414.46265664959617
4405,38.8107,37.9396,579.4,765.4725753703295,200.73810835376244,590.5848312798001
4406,38.34388,37.97378,814.8,12552.895604672505,4459.99982187864,16173.12314705547
4611,37.7472,37.28426,730.9,247.01019855729993,496.22163540739916,510.14448570642196
4612,38.02395,36.48187,246.1,3193.057318357808,4777.860791548413,7097.596051976933
4614,37.48513,37.29775,541.2,193.0743893499797,74.44496968175211,61.00317968756223
4615,37.38676,37.13803,484.0,36.66942909889803,66.37427281563778,67.6757788173245
4616,37.37547,36.83836,390.0,27.733261716563113,32.223868422081075,29.713770315715372
4617,37.58551,36.8303,573.6,41.71540557276141,64.13034647598195,299.2691673106494
4620,37.58568,36.89845,484.4,37.7695571101938,67.3037724856491,96.53755819972875
4624,37.5361,36.91765,280.1,29.48081717432343,58.84500997149796,91.43867625085832
5807,38.7269,37.2475,445.3,479.47899830382164,872.8269161184946,700.830073608015
8002,37.19156,36.56195,430.3,40.11640223217387,70.60325603670825,88.83055692305896
8003,37.08417,36.26936,350.0,33.67923302729029,45.80685170768025,212.27705735633765
