Magnitude,Return Period
6.7,134.8332947028928
6.8,167.78578281233473
6.8999999999999995,209.22417890638278
6.999999999999999,261.57809181333386
7.099999999999999,328.11514270783323
7.199999999999998,413.3161071433622
7.299999999999998,523.4732717189316
7.399999999999998,667.6856168669918
7.499999999999997,859.5981851680999
7.599999999999997,1120.6301554872903
7.699999999999997,1486.4290581756939
7.799999999999996,2021.06872103942
7.899999999999996,2852.5439947662335
7.999999999999996,4279.257037740829
8.099999999999994,7195.969239991058
8.199999999999996,16075.485323965473
8.299999999999994,2.6352491533870787e+17
