Magnitude,Return Period
6.7,139.21991597707517
6.8,174.6329835267264
6.8999999999999995,219.97956063359197
6.999999999999999,278.60859600184307
7.099999999999999,355.36284722827037
7.199999999999998,457.5046261846343
7.299999999999998,596.4338794842611
7.399999999999998,791.1233205752517
7.499999999999997,1075.6750138226203
7.599999999999997,1518.211760469853
7.699999999999997,2277.552378750933
7.799999999999996,3829.9164353568844
7.899999999999996,8555.868347301259
7.999999999999996,1.9215358410114115e+17
