Magnitude,Return Period
6.7,372.15465123282365
6.8,452.0600530908523
6.8999999999999995,547.9962921098746
6.999999999999999,662.6070310324823
7.099999999999999,798.8457979003337
7.199999999999998,960.2531582178129
7.299999999999998,1151.7919276912176
7.399999999999998,1381.9085681332638
7.499999999999997,1667.079696019349
7.599999999999997,2041.3857463432971
7.699999999999997,2577.219357414153
7.799999999999996,3434.6461330683273
7.899999999999996,4996.678969486254
7.999999999999996,8303.547354931961
8.099999999999994,16725.390382355752
8.199999999999996,44053.93176198387
8.299999999999994,167334.74276085856
